price,quantity
104308.04000000,0.06949000
104308.87000000,0.06937000
104308.96000000,0.07680000
104310.01000000,0.08705000
104310.55000000,0.07708000
104310.94000000,0.06745000
104310.95000000,0.09482000
104312.00000000,0.09065000
104313.15000000,0.07272000
104313.18000000,0.08878000
104315.84000000,0.08580000
104316.09000000,0.07372000
104316.43000000,0.08657000
104317.50000000,0.07588000
104319.03000000,0.07300000
104319.76000000,0.09241000
104321.47000000,0.09131000
104324.13000000,0.07022000
104326.92000000,0.07832000
104327.58000000,0.08584000
104333.72000000,5.33944000
104563.64000000,0.00004000
104585.13000000,0.12254000
104707.19000000,0.00286000
104733.54000000,0.00019000
104734.64000000,0.00020000
104738.09000000,0.00022000
104744.18000000,0.00024000
104753.26000000,0.00027000
104765.77000000,0.00030000
104782.26000000,0.00033000
104803.49000000,0.00037000
104819.83000000,0.00100000
104825.73000000,0.00061000
104900.00000000,0.00010000
105006.65000000,0.00067000
105018.35000000,0.02134000
105087.17000000,0.00347000
105200.00000000,0.00020000
105268.35000000,0.02134000
105309.52000000,0.00066000
105518.35000000,0.02134000
105545.70000000,0.00045000
105768.35000000,0.02134000
105876.75000000,0.00500000
106018.35000000,0.02134000
106129.64000000,0.00100000
106170.68000000,0.00100000
106268.35000000,0.02134000
106317.68000000,0.00203000
106394.16000000,0.00100000
106491.09000000,0.00428000
106518.35000000,0.02134000
106556.10000000,0.00010000
106768.35000000,0.02134000
107018.35000000,0.02134000
107268.35000000,0.02134000
107518.35000000,0.02134000
107768.35000000,0.02134000
108018.35000000,0.02134000
108266.21000000,0.00192000
108268.35000000,0.02134000
108337.96000000,0.00192000
108518.35000000,0.02134000
108768.35000000,0.02134000
108775.34000000,0.00095000
108776.52000000,0.00095000
109987.48000000,0.00012000
111093.70000000,0.00011000
111154.46000000,0.00011000
111177.03000000,0.00011000
111180.07000000,0.00033000
111180.09000000,0.00011000
111197.24000000,0.00011000
111240.86000000,0.00011000
111251.99000000,0.00022000
111252.30000000,0.00011000
111257.98000000,0.00011000
111274.03000000,0.00011000
118302.97000000,0.00845000
200000.00000000,0.00100000
