,timestamp,open,high,low,close,volume
0,2025-06-04,105284.66,116929.99,37703.18,104680.1,1024.73974
1,2025-06-05,104680.1,200000.0,30000.0,101508.68,2111.6254
2,2025-06-06,101508.68,110718.0,50000.0,104290.66,2524.50045
3,2025-06-07,104290.66,260000.0,27000.0,105552.16,3737.24539
4,2025-06-08,105552.16,200000.0,30000.0,105734.08,3749.79513
5,2025-06-09,105732.35,200000.0,30000.0,110263.02,4388.63906
6,2025-06-10,110263.02,200000.0,30000.0,110269.9,4342.03942
7,2025-06-11,110269.9,200000.0,29821.6,108657.52,4439.36433
8,2025-06-12,108657.52,233178.37,23568.32,105893.68,3207.92255
9,2025-06-13,105894.34,200000.0,45056.42,106069.25,2579.50333
10,2025-06-14,106069.3,108052.67,25000.0,105414.63,1559.85874
11,2025-06-15,105414.64,200000.0,50000.0,105573.52,1662.77112
12,2025-06-16,105573.52,200000.0,23416.1,106704.71,2188.40736
13,2025-06-17,106704.71,216476.98,30000.0,104551.17,2523.76354
14,2025-06-18,104551.1,200000.0,102655.0,104882.65,2482.4657
15,2025-06-19,104886.78,200000.0,103144.98,104280.0,1750.81789
